image_name,comment,category
2967630001.jpg,a dog walking through the water at the ocean,dog
2410040397.jpg,a black and brown dog runs through the woods,dog
3964718336.jpg,a woman with a green costume is standing up while doing tricks on a horse,horse
470696235.jpg,a man is holding on tight to a horse that is bucking in a rodeo with a large crowd of onlookers,horse
3466891862.jpg,a little white and tan dog running through the grass with a stick in his mouth,dog
2904601886.jpg,four multicolored dog like animals in a dryed grass field,dog
2314732154.jpg,a brown dog walks towards another animal hiding in the grass,dog
485741580.jpg,a dog in a car,dog
5090110064.jpg,a little girl in a blue jacket and hood is snuggling a little kitty cat,cat
396763804.jpg,a black and white dog is running through the sand on a beach,dog
3149919755.jpg,a dog and a ball on a beach,dog
3552435734.jpg,a black dog is running on water,dog
1659358133.jpg,a dog sniffs a newly cut tree trunk,dog
525968880.jpg,a big tan dog drinks water from an outdoor water spout,dog
2092480356.jpg,a man is caving a pumpkin while a cat sits in the background,cat
2429978680.jpg,a dog with its mouth wide open to catch a ball in the sand,dog
2099323664.jpg,the brown and white dog is standing on its hind legs beside the path,dog
3999307043.jpg,a young boy in a green shirt wearing a blue harness stares at a white dog in a red harness while taking a walk,dog
2657643451.jpg,a woman and dog running down an asphalt,dog
543613917.jpg,a man in a black hat is rearing up on his brown horse while a crowd of people look on from a distance,horse
4922642099.jpg,a dog with a collar on lying on the street,dog
3173976185.jpg,a black and white dog looks at the camera with an open mouth,dog
2522809984.jpg,a black dog swimming,dog
2260649048.jpg,a german sheperd and a small white dog are playing,dog
2428275562.jpg,a black and white dog wearing a red collar is digging in the dirt,dog
2368266191.jpg,a dog leaps high in the air while another watches,dog
2071309418.jpg,the white dog next to the brown dog is wearing a christmas headband,dog
335588286.jpg,a small white dog catching a stick on the shore at the beach,dog
3552435734.jpg,the black dog is running through water,dog
2561481438.jpg,a dark dog jumps out of the water and onto the grass,dog
2298077331.jpg,a black dog runs with a white dog,dog
3724759125.jpg,a young fairskinned boy rides a play horse at a playground,horse
3485599424.jpg,a dog stands on the grass while tied up,dog
3415178926.jpg,a man tugging on a stick that a little dog has in his mouth,dog
2970183443.jpg,a man and a boy watch a dog leap to catch a ball,dog
3259883609.jpg,a brown dog on a dock faces a white swan in the water,dog
1466479163.jpg,a small dog runs in a field,dog
695641996.jpg,a small blond child affectionately grabbing a spotted dog,dog
2089442007.jpg,a brown dog wades in the water,dog
3389448506.jpg,a light colored dog with tongue hanging out of this mouth running on the grass,dog
3387661249.jpg,a horse and dog look at each other in a field,horse
2421446839.jpg,white and black dog jumps at someone through car window,dog
6942665758.jpg,this dog does nt seem to appreciate how awesome his hat is,dog
526661994.jpg,a dog running through the grass,dog
3509711173.jpg,a man riding a horse while holding a sword,horse
1350948838.jpg,a wet black dog jumps into a pool to fetch a ball,dog
1306145560.jpg,a black dog carries an orange tennis ball in his mouth as he swims,dog
2421446839.jpg,an orange dog and a little white dog with black spots are next to a white car,dog
2512876666.jpg,a man and a dog stand on a black rocky mountain,dog
4567311889.jpg,a black and white cat looking at a baby,cat
1350948838.jpg,a black dog jumping into a large pool,dog
3358380484.jpg,a brown and white dog is running through dead grass,dog
3493255026.jpg,a white dog is tugging on a black rope,dog
2619454551.jpg,a brightly colored bird and a small dog,dog
3540416139.jpg,a golden dog is running across the grass chasing a white toy on the ground,dog
1764955991.jpg,a tan and white dog retrieving a ball on a gravel path,dog
2880051254.jpg,a white and black dog runs on the grass,dog
255330891.jpg,a couple walking a white dog down a paved street,dog
2507312812.jpg,a black dog and a gray dog run on the beach,dog
3229898555.jpg,the white and black cat pawed at the piece of fabric,cat
358127240.jpg,a brindle dog standing next to a christmas tree sniffing a small child laying on the floor as the child plays with toy vehicles,dog
888517718.jpg,a dog plays on the grass,dog
3587009091.jpg,a dog swimming in some water where there are some ducks swimming also,dog
2543247940.jpg,the white dog is lying on the grass and chewing a piece of wood,dog
1110208841.jpg,a brown and white dog catches a frisbee in it mouth in front of a group of people,dog
2472634822.jpg,a large dog chases a boy through a field,dog
1363843090.jpg,a dog walking through a small stream with a rag in his mouth,dog
1918573100.jpg,a dog is running on a wooden beam beside a blue fence,dog
3713133789.jpg,a brown and white dog jumps over a purple and white hurdle in a field,dog
2707969386.jpg,a small dog jumping an obstacle in a grassy field,dog
4716172909.jpg,a lady wearing a black coat is walking a dog on the street and the other people are walking and standing in front of the building,dog
3599895386.jpg,four people and a dog out in the woods,dog
599366440.jpg,a black and white dog has pinned a brown dog to the ground in front of a wishing well,dog
1461653394.jpg,a white and black dog wrestle together,dog
2073756099.jpg,the black dog is jumping into the pool to catch a rubber chicken in its mouth,dog
351876121.jpg,a dog and cat are snuggling up during a nap,dog
2279945145.jpg,a dog shakes water off of himself,dog
2864340145.jpg,a black dog is walking through the water,dog
2782433864.jpg,two dogs meet and check out a third dog at the beach,dog
3408130183.jpg,a dog with a brown spot around one eye walking in front of a black dog,dog
7053876907.jpg,the horse and the equestrian leap over the high bar,horse
240583223.jpg,a brown dog is running on a dirt path,dog
3263741906.jpg,blond dog running down road,dog
2174343200.jpg,a dog is playing with its toy,dog
2460134050.jpg,the dog is running while looking up,dog
2656688132.jpg,a person stands with a small dog balancing on their leg,dog
2500567791.jpg,dog chasing brown cow and black cow,dog
2833582518.jpg,a dog running down a dirt track,dog
1015584366.jpg,a gray dog is leaping over a fallen tree,dog
2773747725.jpg,a woman dressed in blue holding the reins of a brown horse by a racetrack,horse
872135364.jpg,brown and black dog tussle on grass,dog
2944836001.jpg,a black dog leaps for a ball held by a man,dog
5171155099.jpg,soldier riding a white horse,horse
7654089948.jpg,a jockey is riding a running horse,horse
1022975728.jpg,the black dog runs through the water,dog
230016181.jpg,a woman wearing an orange jacket sitting in a canoe on a lake with a dog behind her,dog
2428086758.jpg,a large dog stands with a smaller dog near the edge of the water,dog
3435648640.jpg,a black dog and a brindle dog wrestle in the dry grass beside a body of water,dog
26833964.jpg,a small dog stands in a street with five vehicles in the background,dog
2618866067.jpg,dog with white collar yawning,dog
3401902253.jpg,a wet dog emerges from deep water,dog
2493469969.jpg,a muscular dog is walking on very short grass,dog
3650111717.jpg,a dog is jumping in the air with flowers in his mouth on a very windy day,dog
3903095674.jpg,a man holding flowers while a dog sits in a bicycle crate,dog
7430283024.jpg,a horse back rider wearing white breeches and spurs jumping a large oxen in a jumpers course on a gray horse with splint boots,horse
367964525.jpg,a brown and white dog running out of the woods through snow,dog
3572872724.jpg,a member of the army is walking with a german shepard while the dog has something in has mouth,dog
3401437960.jpg,a brown dog digging a hole,dog
2543589122.jpg,a dog is making a splash in a blue paddling pool,dog
3000722396.jpg,a black and white dog carries a red toy through the green grass,dog
3326086533.jpg,a black dog clutches a pink purse in his teeth and runs,dog
1330645772.jpg,a large black and white dog is running through a grassy field,dog
4123894799.jpg,a woman is watching a black dog,dog
1600208439.jpg,a brown dog playing in mud,dog
2986280913.jpg,boy and white dog running in grassy field,dog
3103264875.jpg,a dog running with his tongue out,dog
393810324.jpg,a large black dog relaxes while a small brown dog investigates nearby a doorway,dog
3333675897.jpg,a black and white dog is performing tricks on a course,dog
852469220.jpg,a dog swims through the water,dog
2445783904.jpg,brown dog on a leash is sniffing the ground in a field of grass,dog
2199793371.jpg,a brown and white dog plays with a soccer ball on snowy ground,dog
2219805677.jpg,a dog gets ready to catch a yellow ball while standing in the sand,dog
2314722788.jpg,a dark brown dog and a light brown dog in a field stare at each other,dog
4855691043.jpg,cowboy on foot in some enclosed area with a horse with spectators,horse
3569126684.jpg,a dog runs through the grass in the sun,dog
2401530530.jpg,a person is riding a horse western style,horse
2103568100.jpg,a white dog walks through shallow water in the wilderness,dog
1688699579.jpg,a smaller white dog is trying to get a hold of a stick that a bigger tricolored dog has in its mouth,dog
12393802.jpg,two men work in a butcher shop one cuts the meat from a butchered cow,cow
371364900.jpg,black dog near a dock looks into murky water,dog
3260975858.jpg,a man is in a dog sled race with snow on the ground,dog
2456615908.jpg,a dog jumping a fence,dog
2858757067.jpg,two people dressed in red and white wait at the horse track with a horse,horse
522700240.jpg,a dog lays on a bed with a blue sheet while also partially covered with a blue sheet,dog
241046599.jpg,a small dog wearing a purple and green cape,dog
1003163366.jpg,a shirtless man lies on a park bench with his dog,dog
2824922268.jpg,a dog is on the grass shaking himself dry,dog
1895768965.jpg,a dog sprints across the leaf covered ground,dog
1772859261.jpg,a dog swims,dog
419518695.jpg,a man in a winter hat plays with a small black dog in the snow,dog
3130093622.jpg,a black and brown dog jumps through the snow,dog
2684489465.jpg,the white dog is leaping over a red and green fence on an obstacle course,dog
34176632.jpg,a girl in a gray hooded sweatshirt asleep with a black dog,dog
859620561.jpg,a brown dog catching a frisbee in the air,dog
3086810882.jpg,brown and white dog runs towards camera,dog
239453674.jpg,an officer and dog are walking in front of a queue of people,dog
4521546708.jpg,the pizza maker is laughing at the white dog watching him through the window,dog
4930658209.jpg,a cowboy on a horse has a lasso above his head,horse
319185571.jpg,a gray and white dog jumping over standing water in the sand,dog
2561334141.jpg,a man plays with his dog,dog
381275595.jpg,big brown dog chews on bone lying down,dog
315125146.jpg,a black and white dog bits the jacket of a person,dog
2226440063.jpg,a black and white dog frolics in the snow,dog
2176364472.jpg,a brown dog is running down a slope while a man follows beside him,dog
3239480519.jpg,a black and white dog running with something in his mouth,dog
2110979954.jpg,man in white hat riding horse lassos a small bovine,horse
3422394336.jpg,a dog hides in the bushes,dog
2256218522.jpg,a black and white dog is running through the sand at a beach,dog
359082432.jpg,a tan dog climbing over a bare tree trunk with a man standing in the background,dog
387078972.jpg,a white dog walking on some rocks along a house in the snow,dog
3650111717.jpg,a white and brown dog is playing in the dirt with a toy,dog
3487261028.jpg,a dog is jumping onto a young girl while outdoors,dog
3476237185.jpg,a large black dog chases a small black dog,dog
3139389284.jpg,a small dog jumping on a street,dog
2616009069.jpg,a white and a brown dog running through a grassy area,dog
1508269285.jpg,a brown and white spotted dog in a green collar is in the water and looking at something,dog
3595216998.jpg,a small black dog jumps over a bar,dog
1895768965.jpg,a white and brown dog is running over orange leaves,dog
2598012140.jpg,white dog biting orange cat,dog
3638577494.jpg,a pug stands on the bank of a pond while a larger dog stands in the water,dog
2951750234.jpg,a jockey on a black horse jumps over a hurdle,horse
350176185.jpg,a dog is jumping down the stairs,dog
4274214534.jpg,woman with a red hat ice skates and walks her dog,dog
2509824208.jpg,a brown dog running through the grass,dog
2452334314.jpg,a rider on a white horse is in the middle of a jump over a hurdle,horse
2472634822.jpg,a young asian boy running with a white and gray dog on green grass,dog
2586532797.jpg,a black dog is holding a black bird in his mouth,dog
1461653394.jpg,a white dog bites at a black dog,dog
3155390408.jpg,a dog leaps up to catch a blue and tan ball,dog
3964718336.jpg,a trick rider wearing a bright green outfit carrying an american flag riding a paint horse with green riding gear,horse
525968880.jpg,the dog is drinking water from a fountain,dog
2552949275.jpg,a dog at the beach jumping into the water,dog
691770760.jpg,a dog is distance jumping into a pool of water while spectators are watching,dog
3466353172.jpg,a wet tan dog running across a beach,dog
3284887033.jpg,a tan dog chases a black and white soccer ball,dog
2404488732.jpg,a brown dog runs in a field,dog
3472364264.jpg,the large black dog is running on the sand near the beach,dog
284441196.jpg,a dog runs around in a field,dog
408573233.jpg,a black and brown dog in a grassy,dog
4482109273.jpg,two men and a dog are walking down a desolate road,dog
8141029294.jpg,a woman carrying bags walks through water as her dog follows,dog
861608773.jpg,a dog running at a park,dog
2890075175.jpg,a brown dog carrying a tire in its mouth,dog
2417745327.jpg,a dog is running through the ocean,dog
3484576025.jpg,a small dog with a toy in its mouth is jumping over a pole,dog
2579460386.jpg,wet dog jumping in water,dog
7486904032.jpg,a man is riding a horse with a braided mane while wearing full horseriding gear,horse
2428751994.jpg,a smiling dog runs in the grass,dog
1752454466.jpg,a brown and white dog running off of an obstacle,dog
3293596075.jpg,a dog up to its belly in the snow attempts to move,dog
129462636.jpg,a woman holding a dog on a leash,dog
2656987333.jpg,a man in a cowboy hat being stepped on by a brown horse,horse
4442319130.jpg,a cat lays on an old woman s shoulder,cat
3558251719.jpg,a man and a dog stand in the grass,dog
4656225038.jpg,two girls play on a tree along with their pet dog,dog
411863595.jpg,a man is holding a very long leash attached to a very large dog who is smelling the grass,dog
3432495898.jpg,a brown dog lies upside down on the cement road,dog
3603870481.jpg,a black dog is in the water with something orange in his mouth,dog
2677656448.jpg,a dog in a swimming pool swims toward sombody we cannot see,dog
2261257940.jpg,a brown dog is chasing a black dog through the snow in front of a wire mesh fence,dog
315436114.jpg,a brown dog in snow is biting at a piece of pink cloth,dog
2259203920.jpg,a white and brown dog jumps towards a red ball,dog
1786425974.jpg,a large dog sniffing a human hand while a small dog is sniffing the large dog s butt,dog
1626754053.jpg,a black and white dog prepares to catch a frisbee,dog
2561212119.jpg,a black dog with a red collar stands outside with his paws in water,dog
2141713971.jpg,a woman and a younger girl slide down a hill on a snow sled a dog running at their side,dog
3439982121.jpg,a woman huge a fluffy white dog,dog
6029705375.jpg,a woman is cycling on the pavement next to the beach on an interesting construction with three wheels and a fake horse in front,horse
3197917064.jpg,a white dog in the snow running with an object in its mouth,dog
2738077433.jpg,a light brown dog is running up,dog
1454678644.jpg,two dogs chase a third dog with a toy,dog
512045825.jpg,a dog jumps over a barrier in a field,dog
350176185.jpg,a dog jumps down a flight of stairs,dog
252578659.jpg,three sheep graze on the grassy field with a dog walking behind them,dog
1119015538.jpg,the small dog is running across the lawn,dog
2519594430.jpg,a black dog carries a toy on the grass,dog
3477977145.jpg,two dogs are running around a dog track wearing muzzles,dog
3317333893.jpg,a black dog running through the snow,dog
2789238858.jpg,a muzzled greyhound dog is running around a track,dog
852469220.jpg,a dog swims through water,dog
8141029294.jpg,a young lady and a dog are walking through ankle deep water,dog
2574194729.jpg,a white dog is running down a path between bushes,dog
4404978183.jpg,a woman in black boots and a gray umbrella walks away from a group looking at a small dog,dog
513269597.jpg,a black dog carrying a hanging flower pot,dog
2136992638.jpg,the brown dog with a red collar is biting the black dog,dog
3030823649.jpg,a dog runs for the tennis ball,dog
3720366614.jpg,small dog in costume stands on hind legs to reach dangling flowers,dog
4942974885.jpg,a little girl driving her pink cadillac with her dog in tow,dog
4922642099.jpg,a dog on a leash sits alone on a city step with a bottled drink and a book next to it,dog
4703277578.jpg,a woman lets her dog drink while on a walk,dog
468310111.jpg,a cow herd grazing in the pasture with a dog running in the foreground,cow
505929313.jpg,a black dog plays with a ball in the water,dog
3166969425.jpg,a white dog walks along a path which has a thin covering of snow flakes,dog
3409740108.jpg,the number dog in the blue vest is in the lead at the dog races,dog
2394267183.jpg,a dog goes through an obstacle course while a person looks on,dog
3187117682.jpg,a brown and white dog with a black collar and gold tag licking the snow from its nose,dog
3154813159.jpg,a white and brown dog is standing on its back legs next to a woman and a table with a gingerbread house on it,dog
2735158990.jpg,a dog stands on its hind legs in a wooded area while another dog watches,dog
3419634480.jpg,a black dog running in grass,dog
2637904605.jpg,a black and white dog bounds through tall wheat grass,dog
1072153132.jpg,a black and white dog catches a toy in midair,dog
309049466.jpg,brown and black dog with yellow object in mouth in the snow,dog
2461372011.jpg,a person hiking up a hill in the snow with a dog,dog
539761097.jpg,a boy toddler climbs on a big white sleeping dog,dog
2500567791.jpg,a brown cow jumps near a black one as a dog herds them,cow
2045023435.jpg,a brown dog playing with a tennis ball,dog
44856031.jpg,a dog is being squirted with water in the face outdoors,dog
2521983429.jpg,a man and a dog on rocks on a beach,dog
443885436.jpg,a white dog with light brown markings has a stick in his mouth and his paws in the snow,dog
769260947.jpg,a white dog is wading in natural water with algae,dog
4649988027.jpg,these three girls are wearing summer dresses and playing with the dog in the grass,dog
4418969015.jpg,appears to be an african tribe or family posing for a picture in the grasslands with a dog in the corner,dog
359082432.jpg,a man watching his dog standing on a dead tree trunk,dog
3432495898.jpg,a brown dog laying on its back,dog
2822148499.jpg,a dog descends a ramp into the pool to get a tennis ball,dog
2632366677.jpg,a tan dog sits in the sand by a beach looking sad,dog
1429546659.jpg,a white dog and a black dog in a field,dog
385186343.jpg,a dog wears a pink sweater,dog
1026685415.jpg,a black dog carrying something through the grass,dog
2884651479.jpg,a dog swims in a pool while another watches,dog
320093980.jpg,woman laughing as she is being licked by a brown dog,dog
2886411666.jpg,dog running through grass in fenced in area,dog
4656231658.jpg,three people walk by a mural of a cow,cow
436013859.jpg,a brown dog is trying to catch a flying disk but missed it,dog
2679851489.jpg,a black dog runs on the grass near to a brown and white dog,dog
3161044966.jpg,a dog laying on the edge of a white chair,dog
252504549.jpg,a white dog is playing with a ball on the beach,dog
2797511323.jpg,a white dog is carrying a ball across the grass nearby a fence,dog
255330891.jpg,a man and a woman walk with a white dog on a leash,dog
373219198.jpg,the light brown dog is in an uncrowded parking lot,dog
254295381.jpg,a black dog at the top of a red incline,dog
475816542.jpg,a large black dog and a large yellow dog appear to be playing with a soccer ball,dog
3471066276.jpg,one black dog and one mixed color dog run down a hill,dog
2429978680.jpg,a dog is running and catching a ball,dog
1009692167.jpg,an officer in a reflective vest stands at the front of his van with his dog,dog
5791244.jpg,apparent crime scene with a policeman holding a dog,dog
4931356888.jpg,two horsemen are chasing a cow around the lot,cow
1019077836.jpg,large brown dog running away from the sprinkler in the grass,dog
491600485.jpg,a dog is looking up at a ball attached to the string,dog
1910013808.jpg,a woman in a green vest tries to capture a picture of the horse,horse
3264337159.jpg,a white dog leaps through dried cattails coming through the snow,dog
3544673666.jpg,a dog stands on its hind legs to catch a ball in its mouth,dog
3375920709.jpg,a dog runs through a snowy field,dog
2310126952.jpg,a dog sled team seen from behind,dog
2444821454.jpg,a dog jumping for a frisbee in a field,dog
1288909046.jpg,a dog jumps into a swimming pool after a toy,dog
3101796900.jpg,a large brown dog and a larger black dog playing together with a ball,dog
294353408.jpg,a brown and white dog is jumping on the couch next to someone with blue slippers,dog
2421446839.jpg,a small black and white dog jumps at a woman in a white jeep while a golden dog follows beside them,dog
3523920786.jpg,a dog runs down a dirt road,dog
2392625002.jpg,a dog wearing a cover runs in the snow,dog
3256043809.jpg,a slender dog checks out a snowy patch of land,dog
2756636539.jpg,the black dog is running through the water,dog
3589156060.jpg,there is person standing in water and playing with a dog,dog
514031930.jpg,a big dog tied to a door,dog
2218743570.jpg,a black cat playing with a white puppy next to a duck toy,cat
2959500257.jpg,a little girl is riding a horse in the woods,horse
2229179070.jpg,a dog jumps through a black hulahoop,dog
3148647065.jpg,a dog is running through some dead leaves,dog
2855695119.jpg,a very wet dog in a river,dog
2264316030.jpg,a brown dog is running through snowy woodland,dog
3009644534.jpg,a dog fetches a ball in a field,dog
35505698.jpg,a dog stands next to a man in shorts and a blue and white shirt,dog
3600221224.jpg,a brown dog runs towards the camera on a dirt trail with mountains in the background,dog
2666078276.jpg,a dog leaps on the beach,dog
487894806.jpg,a dog is biting a mop,dog
1904112245.jpg,a gray colored dog is licking a fallen tree in the forest,dog
1262454669.jpg,a woman eats on a bench while a brown and white leashed dog stands next to her,dog
1508269285.jpg,black and white dog wades in water,dog
4070112495.jpg,a girl in a cat costume standing in an office,cat
1096097967.jpg,a white and black dog is jumping into a pool,dog
3166969425.jpg,a dog walks in a foggy place,dog
5370581509.jpg,a young woman wearing a dark blue top and jeans is standing in a dirt filled area with a black and white dog at her feet,dog
45543081.jpg,two men are sitting in a horse drawn cart with potatoes in the back,horse
7024546259.jpg,a woman draws a dog using pencil on a small square,dog
212536960.jpg,a man is walking a dog with a pink,dog
3161044966.jpg,a brown and white dog sliding off an oversized cream chair,dog
3549408779.jpg,a small black and white dog is swimming in water,dog
5037602166.jpg,a man is gathering hay on a horse drawn wagon,horse
300274198.jpg,a brown dog is licking its lips whilst standing next to two empty feeding bowls,dog
295433203.jpg,a very large brown dog is playing with a smaller curlyhaired dog,dog
2885387575.jpg,a dog is playing with a ball on the grass,dog
254166641.jpg,a woman building a horse s head in the sand,horse
6878109611.jpg,an older woman wearing a black sweater with a red undershirt and blue jeans is lying on a bed and holding a black cat,cat
3150380412.jpg,a brown dog running through the water,dog
3653837067.jpg,a woman riding a horse in a show jumping competition,horse
229862312.jpg,a dog lays down in the long green grass,dog
4887472414.jpg,a tabby cat sitting on the roof of a white car,cat
2673148534.jpg,a dog runs past an empty chair and a tripod marking a path through a grassy field,dog
2384147448.jpg,one dog with an object in its mouth is met by another dog nearby a fence,dog
2507312812.jpg,a black dog and a white dog are running across a sandy beach by the ocean,dog
3339263085.jpg,a brown dog wades through water and walks toward a rock,dog
2831672255.jpg,the dog runs down the wooden ramp,dog
2773747725.jpg,a woman in a blue uniform looking at her horse before the race,horse
3455920874.jpg,a black and white dog in midair over a hurdle,dog
3565749152.jpg,the dog leaps to catch the frisbee in its mouth,dog
7635821790.jpg,a girl is riding a white horse surrounded by green trees,horse
1229756013.jpg,a dog leaps into the air in a grassy field surrounded by trees,dog
2491343114.jpg,the dog is running through the wet sand,dog
3540515072.jpg,a dog leaping on pavement,dog
2657643451.jpg,a person runs with a dog,dog
4365033584.jpg,a little girl examines a dog laying on a beach,dog
2273038287.jpg,a black dog is running very fast on a light brown ground,dog
1287982439.jpg,a dog with a collar running through the water,dog
275516348.jpg,dog running on two legs,dog
1600208439.jpg,a dog enjoys playing in the water at the edge of a field,dog
3558267192.jpg,a cowboy is viciously thrown about as he attempts to hold on to a horse he is riding in a rodeo competition,horse
3417143124.jpg,a lady in a plaid dress strokes her white dog s face,dog
2466171114.jpg,brown dog with objest in mouth moving toward camera,dog
522700240.jpg,a dog is covered from nose to knees in a blue sheet,dog
2364394224.jpg,the boy and the dog are outside in the garden with a little snow still on the ground,dog
3362049454.jpg,the brown dog is playing outdoors,dog
3816009475.jpg,a man falls off a cow at the cattle drive,cow
430173345.jpg,a brown dog possessively grabs a purple frisbee in a field,dog
3449718979.jpg,brown dog with white marking on forehead coming down cement steps,dog
1187593464.jpg,a dog running across a grassy field with a stick in its mouth,dog
1597557856.jpg,a tan dog jumping up at a woman in a skirt and a black and tan dog walking away,dog
2410320522.jpg,large dog plays with two smaller dogs on grass,dog
3622929632.jpg,the brown dog next to the swimming pool has a ball in its mouth,dog
2659278131.jpg,a small brown and white dog about to get its hair dried,dog
1578355853.jpg,a group of people and a dog sitting on concrete bleachers,dog
3323076458.jpg,the black and tan dog is chasing something he has spotted,dog
390360326.jpg,a dog running with something in its mouth,dog
416106657.jpg,a fluffy white dog runs through the woods with his ears flapping in the breeze,dog
411678041.jpg,cowboy rides a horse in a parade as onlookers watch from the curb,horse
3317333893.jpg,a black dog wearing a red collar is running through snow next to a wooden fence,dog
3415165462.jpg,a brown and white dog is jumping in the air with a tennis ball in its mouth,dog
3455898176.jpg,a dog jumps over a hurdle,dog
3704431444.jpg,the dog runs next to the crashing waves of the ocean,dog
2280525192.jpg,dog running through the weeds,dog
4363986324.jpg,a little girl is sitting with her beagle at a dog show,dog
2187503678.jpg,a little orange cabin with a white dog running near it in the woods,dog
2666078276.jpg,there is a brown dog leaping on the beach,dog
4764975754.jpg,a cowboy struggling to maintain control on a horse at a rodeo,horse
373219198.jpg,a dog standing in a rocky area,dog
298122528.jpg,an intent baby holds the tail of an orange cat,cat
6208501317.jpg,a woman dressed in a gray shirt playing a horse racing game,horse
3215896272.jpg,a dog wearing a green sweater and a backpack walking on snow,dog
411678041.jpg,a man on a horse with a large hat goes down the street while many people watch from the edge of the street,horse
2394763838.jpg,a small tan dog running in the grass with a stick in his mouth,dog
1562392511.jpg,a dog chewing a blue rope while two men watch from behind,dog
4443087396.jpg,a cat sits on top of a store sign,cat
3036596725.jpg,a white dog with a mouthpiece and a red collar running,dog
247778426.jpg,the brown dog splashes through the water,dog
3796818804.jpg,a horse and buggy,horse
2247889670.jpg,a man in a brown jacket is running on a sandy bay towards a dog that is in turn running towards him,dog
335588286.jpg,a white dog on a beach is carrying a stick in its mouth,dog
3567214106.jpg,a brown dog splashing through a puddle on a lawn,dog
4634099785.jpg,a man in a black jacket is walking his small dog in a quaint neighborhood,dog
3683185795.jpg,a girl and a boy watch a dog try to climb a tree,dog
4931227978.jpg,a man riding a horse is chasing a calf,horse
2646577258.jpg,an airborne horse bucks off a rider,horse
3298175192.jpg,a black and white dog rests its head on a camera,dog
411011549.jpg,a small tan dog jumps off of a brick enclosed garden,dog
436013859.jpg,a dog is twisting in the air as it tries to catch a frisbee,dog
263522013.jpg,a brown dog shakes off water from its body,dog
394463341.jpg,gray and white dog with red harness and leash going over a stone wall,dog
4286588375.jpg,a cowboy riding a horse at a rodeo with seconds on the clock,horse
2975018306.jpg,a brown dog is licking its nose,dog
2229509318.jpg,a brown dog is jumping in the air near a pinkcoated girl,dog
3019857541.jpg,the small brown dog is amidst the potted plants and fallen leaves,dog
2310126952.jpg,a sled dog team running from the perspective of the rider,dog
4796624963.jpg,a man is walking his dog in the city at night,dog
2379150102.jpg,a dog pees on the side of a fountain and one is being walked,dog
2619454551.jpg,a dog looking at a ball that was thrown in the air above him and a colorful parrot standing nearby,dog
2802447198.jpg,a horse is jumping two rails with a rider wearing a green jacket,horse
3920626767.jpg,a man in a red dress coat riding a white horse in sand,horse
327621377.jpg,a black dog runs with a deflated ball and a tiny tire,dog
4939130926.jpg,two kids are skateboarding next to a statue of a man riding a horse,horse
